,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
765.00,Moonrise Kingdom,2012.00,PG-13,25728.70,94 min,"Comedy, Drama, Romance",Wes Anderson,"Wes Anderson, Roman Coppola","Jared Gilman, Kara Hayward, Bruce Willis","A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",English,United States,Nominated for 1 Oscar. 36 wins & 122 nominations total,https://m.media-amazon.com/images/M/MV5BMzllMWI1ZDQtMmFhNS00NzJkLThmMTMtNzFmMmMyYjU3ZGVjXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84.00,7.80,35785.51,tt1748122,movie,41198.00,40071397.78,N/A,N/A,True,
766.00,Joueuse,2009.00,Unrated,25728.70,101 min,Drama,Caroline Bottaro,"Caroline Bottaro, Bertina Henrichs","Sandrine Bonnaire, Kevin Kline, Francis Renaud",A chambermaid on Corsica is obsessed with chess after seeing a US expat play it lovingly with l'Américaine. She cleans his house and now also plays with him on Tuesdays.,"French, English","France, Germany",2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMjEzODg5NDM0N15BMl5BanBnXkFtZTcwMzY5NjkzNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70.00,6.90,35785.51,tt1082009,movie,40190.00,40071397.78,N/A,N/A,True,
767.00,Baton Rouge,1988.00,R,25728.70,90 min,"Crime, Mystery, Romance",Rafael Moleón,"Agustín Díaz Yanes, Rafael Moleón","Victoria Abril, Carmen Maura, Antonio Banderas","Poor gigolo tries to frame his rich mature mistress, but gets tangled in his own wiles.",Spanish,Spain,3 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BYzAwNWJhOTktY2YzOC00ZTVmLTg2NDktMTJhMGE5MWM4MWIxXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",64.02,6.20,35785.51,tt0094822,movie,N/A,40071397.78,N/A,N/A,True,
768.00,I'm All Right Jack,1959.00,Not Rated,25728.70,105 min,Comedy,John Boulting,"Alan Hackney, Frank Harvey, John Boulting","Ian Carmichael, Terry-Thomas, Peter Sellers",A naive aristocrat in search of a career becomes caught up in the struggles between his profit-minded uncle and an aggressive labor union.,English,United Kingdom,3 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BZDhlOGZkZDgtY2U1MS00NDcwLWFlYzctNmQ3NDQ5NjJjNGZmXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",64.02,7.20,35785.51,tt0052911,movie,42314.00,40071397.78,N/A,N/A,True,
769.00,American Guinea Pig: The Song of Solomon,2017.00,R,25728.70,86 min,Horror,Stephen Biro,Stephen Biro,"Jessica Cameron, Jim Van Bebber, Gene Palubicki",The Catholic Church is trying to save an innocent soul from the ravages of satanic possession. Wave after wave of holy men are sent to confront the possessed.,English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BNWQyZGEyYWUtMzY4Zi00ZThiLWI4M2EtN2M3OWYwNzBlYTcwXkEyXkFqcGdeQXVyNDMyOTAzMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",64.02,4.80,35785.51,tt6608032,movie,N/A,40071397.78,N/A,N/A,True,
770.00,High Treason,1951.00,R,25728.70,90 min,"Crime, Drama, Thriller",Roy Boulting,"Frank Harvey, Roy Boulting","Liam Redmond, André Morell, Kenneth Griffith","A wave of sabotage has been sweeping England, taking lives and creating instability. Cmdr. Robert Brennan and Supt. Folland of the Special Branch and Major Elliott of MI5 are charged with putting an end to this internal terrorism.",English,United Kingdom,Nothing,https://m.media-amazon.com/images/M/MV5BMWZmNzg5ZjYtMzRiNy00ZjRiLThkZmUtNjNjNmMwMWY1YjQzXkEyXkFqcGdeQXVyNDY3MzU2MDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",64.02,6.80,35785.51,tt0043637,movie,N/A,40071397.78,N/A,N/A,True,
771.00,Run for the Sun,1956.00,Approved,25728.70,99 min,"Adventure, Thriller",Roy Boulting,"Roy Boulting, Richard Connell, Dudley Nichols","Richard Widmark, Trevor Howard, Jane Greer","In Central America, an action-adventure novelist and a journalist for a magazine find themselves at the mercy of Nazi war criminals.","English, Spanish",United States,Nothing,https://m.media-amazon.com/images/M/MV5BZWZmODViNjktMjZjMS00YzUzLThmYWMtMjE5MTk5MDdmYjJiXkEyXkFqcGdeQXVyNTk1MTk0MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",64.02,6.40,35785.51,tt0049696,movie,41037.00,40071397.78,Russ-Field Productions,N/A,True,
772.00,Heavens Above!,1963.00,Not Rated,25728.70,105 min,Comedy,"John Boulting, Roy Boulting","Frank Harvey, John Boulting, Malcolm Muggeridge","Peter Sellers, Cecil Parker, Isabel Jeans",A minister is accidentally appointed to a snobbish parish.,"English, Hindi, French, Italian",United Kingdom,1 nomination total,https://m.media-amazon.com/images/M/MV5BMTczNTAzMDg5M15BMl5BanBnXkFtZTgwODE0MDkwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",64.02,6.80,35785.51,tt0057134,movie,40817.00,40071397.78,N/A,N/A,True,
773.00,Touche pas à mon copain,1976.00,R,25728.70,92 min,"Comedy, Western",Bernard Bouthier,Bernard Bouthier,"Claude Ventura, Christian Cucurullo, Jean-Louis Blenet",N/A,French,France,Nothing,https://m.media-amazon.com/images/M/MV5BOWFlYTlkNTItNzlkZS00OGU4LTlhOTEtYjAxM2Q4OWQxMGJiXkEyXkFqcGdeQXVyNzI4MDMyMTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}]",64.02,3.50,35785.51,tt0301943,movie,N/A,40071397.78,N/A,N/A,True,
774.00,Circonstances atténuantes,1939.00,R,25728.70,85 min,Comedy,Jean Boyer,"Marcel Arnac, Jean Boyer, Jean-Pierre Feydeau","Michel Simon, Suzanne Dantès, Dorville","A retired criminal-court judge on vacation finds himself stranded in a nest of thieves, who show him a friendlier side of crime.",French,France,Nothing,https://m.media-amazon.com/images/M/MV5BNmM2MGQ5MzAtMjczOC00MDY3LTg3YzItODFiOGFmYTYxOTI4L2ltYWdlXkEyXkFqcGdeQXVyNjM4NzIzNTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",64.02,7.00,35785.51,tt0031158,movie,N/A,40071397.78,N/A,N/A,True,
775.00,Noix de coco,1939.00,R,25728.70,80 min,"Comedy, Drama",Jean Boyer,Marcel Achard,"Raimu, Marie Bell, Michel Simon","A small town gentleman learns that his prim and proper wife was once a showgirl, and that, even worse, he had enjoyed a one night stand with her in the Orient.",French,"France, Germany",Nothing,https://m.media-amazon.com/images/M/MV5BNzk4MzIyNzQtMTY5ZC00YzgxLTk0MWYtMmM3YTljY2Q3MTk3XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",64.02,6.20,35785.51,tt0216040,movie,N/A,40071397.78,N/A,N/A,True,
776.00,Chèque au porteur,1941.00,R,25728.70,102 min,Comedy,Jean Boyer,Jean Boyer,"Lucien Baroux, Jean Tissier, Marguerite Pierry",N/A,French,France,Nothing,https://m.media-amazon.com/images/M/MV5BOTA1OTQ0YzEtODM0MS00NDE0LWEwMTQtODM4YmJhMjAyZmRlXkEyXkFqcGdeQXVyMDI3OTIzOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",64.02,6.90,35785.51,tt0193819,movie,N/A,40071397.78,N/A,N/A,True,
777.00,"À vos ordres, Madame",1942.00,R,25728.70,91 min,Comedy,Jean Boyer,"André Birabeau, Jean Boyer, Yves Mirande","Jean Tissier, Suzanne Dehelly, Jacqueline Gauthier","Hector and Odette Dupuis' car breaks down in the middle of nowhere, but not far from a luxury hotel. The couple are well off but, being miserly, Odette is determined to keep her budget tight. Fortunately for her, the hotel offers roo",French,France,Nothing,https://m.media-amazon.com/images/M/MV5BMjY0NDYxZDUtMjU5MC00YmI4LWI0ZGMtYTAwODEwMDE4NjAzXkEyXkFqcGdeQXVyNjUzNzcwMjc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",64.02,6.20,35785.51,tt0200315,movie,N/A,40071397.78,N/A,N/A,True,
778.00,Nous irons à Paris,1950.00,R,25728.70,93 min,Comedy,Jean Boyer,"Jean Boyer, André Hornez, Franz Tanzler","Ray Ventura, Philippe Lemaire, Françoise Arnoul","Three enterprising young men, Jacques Paul and Julien want to do radio. Refused by the official stations, they decided to create their own, called Radio X.",French,France,Nothing,https://m.media-amazon.com/images/M/MV5BYWVkYmY3NTAtNmEyYy00M2Q3LWE0NjMtNGVkMWI4ODNiN2MxXkEyXkFqcGdeQXVyMTYzNTE3NDA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",64.02,7.10,35785.51,tt0041702,movie,N/A,40071397.78,N/A,N/A,True,
779.00,Coiffeur pour dames,1952.00,Approved,25728.70,87 min,Comedy,Jean Boyer,"Jean Boyer, Serge Veber, Paul Armont","Fernandel, Renée Devillers, Arlette Poirier","Mario (Fernandel), a bumptious sheep-shearer, discovers he has a inimtable touch that makes women, as well as sheep, swoon at his professional caress. He is soon the most sought-after hairdresser in France and is awarded the Legion o",French,France,Nothing,https://m.media-amazon.com/images/M/MV5BMTQyNzY1MDI5NF5BMl5BanBnXkFtZTcwNTI3NzY3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",64.02,6.20,35785.51,tt0044504,movie,N/A,40071397.78,N/A,N/A,True,
780.00,Femmes de Paris,1953.00,R,25728.70,85 min,"Comedy, Musical, Mystery",Jean Boyer,"Alex Joffé, Ray Ventura, Jean Boyer","Michel Simon, Brigitte Auber, Henri Génès","It all begins when astronomer Charles spots a heretofore undiscovered exploding star while peering through is telescope. While calling his colleagues with the news, Charles inadvertently eavesdrops on a young girl, threatening suicid",French,France,Nothing,https://m.media-amazon.com/images/M/MV5BOGEyZjQ3MTktZDkwYS00OTZlLWE0MzItM2E0MzQ2ZDU0MjZmL2ltYWdlXkEyXkFqcGdeQXVyNjM4NzIzNTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",64.02,6.10,35785.51,tt0157626,movie,N/A,40071397.78,N/A,N/A,True,
781.00,J'avais sept filles,1954.00,R,25728.70,98 min,Comedy,Jean Boyer,"Jean Boyer, Aldo De Benedetti, Jean des Vallières","Maurice Chevalier, Delia Scala, Colette Ripert","An aging ladies man, with seven daughters out of wedlock to his credit, wants to stay young forever.",French,"France, Italy",Nothing,https://m.media-amazon.com/images/M/MV5BOWE1ODhhYTgtNzhjMy00MzE0LWE0OTctODdlMGU4NTRkNmQ0XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",64.02,6.40,35785.51,tt0047125,movie,N/A,40071397.78,N/A,N/A,True,
782.00,Sénéchal le magnifique,1957.00,R,25728.70,95 min,Comedy,Jean Boyer,"Jean Boyer, Jean Manse, Jean-Jacques Rouff","Fernandel, Nadia Gray, Madeleine Barbulée","Sénéchal, an actor touring the provinces with the ""Tournées Carlini"" does not meet the success he thinks he deserves. One night in Dreux, he finds himself without his luggage and dressed up as a Foreign Legion officer, he is invited ",French,"France, Italy",Nothing,https://m.media-amazon.com/images/M/MV5BYWQ0MTcwMzctY2NmMy00NTcxLTk4YWUtYzZhOWI1NDNlYjc5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzAyMDM2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",64.02,6.30,35785.51,tt0052264,movie,N/A,40071397.78,N/A,N/A,True,
783.00,Bouche cousue,1960.00,R,25728.70,N/A,N/A,Jean Boyer,"Jean Boyer, Jean-Pierre Feydeau, Serge Veber","Darry Cowl, Jacques Hilling, Sacha Pitoëff",N/A,French,France,Nothing,https://m.media-amazon.com/images/M/MV5BNmFiOGZiNGItMDQ4OC00YmNhLThkODAtZjhmODRiNmJhY2ZiXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",64.02,4.30,35785.51,tt0053670,movie,N/A,40071397.78,N/A,N/A,True,
784.00,Relaxe-toi chérie,1964.00,R,25728.70,85 min,Comedy,Jean Boyer,"Jean Bernard-Luc, Jean Boyer","Fernandel, Jean-Pierre Marielle, Jean Lefebvre",Hélène and François have been a perfect couple for twelve years. Hélène discovers psychoanalysis with Doctor Kougloff. She is convinced that her husband's apparent balance hides horrible tragedies.,French,"France, Italy",Nothing,https://m.media-amazon.com/images/M/MV5BODA5Yzk5ZDAtYTUxNS00NjI3LWFkYTMtMWRmZTI4MDcyY2I0XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",64.02,4.20,35785.51,tt0058517,movie,N/A,40071397.78,N/A,N/A,True,
785.00,Shallow Grave,1994.00,R,25728.70,89 min,"Crime, Thriller",Danny Boyle,John Hodge,"Kerry Fox, Christopher Eccleston, Ewan McGregor",Three friends discover their new flatmate dead but loaded with cash.,English,United Kingdom,14 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BZmVmOWVlODYtOTQ0Yy00ODY1LTgwZjMtYWFhOWQ3ODhmYjliL2ltYWdlXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67.00,7.30,35785.51,tt0111149,movie,41072.00,40071397.78,N/A,N/A,True,
786.00,Steve Jobs,2015.00,R,25728.70,122 min,"Biography, Drama",Danny Boyle,"Aaron Sorkin, Walter Isaacson","Michael Fassbender, Kate Winslet, Seth Rogen","Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac.",English,"United Kingdom, United States",Nominated for 2 Oscars. 28 wins & 114 nominations total,https://m.media-amazon.com/images/M/MV5BMjE0NTA2MTEwOV5BMl5BanBnXkFtZTgwNzg4NzU2NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82.00,7.20,35785.51,tt2080374,movie,42416.00,40071397.78,N/A,N/A,True,
787.00,Yesterday,2019.00,PG-13,25728.70,116 min,"Comedy, Fantasy, Music",Danny Boyle,"Richard Curtis, Jack Barth","Himesh Patel, Lily James, Sophia Di Martino",A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate timeline where they never existed.,"English, Portuguese, Japanese","United Kingdom, China, Japan, United States",1 win & 19 nominations,https://m.media-amazon.com/images/M/MV5BMjQ0NTI0NjkyN15BMl5BanBnXkFtZTgwNzY0MTE0NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55.00,6.80,35785.51,tt8079248,movie,43718.00,40071397.78,N/A,N/A,True,
788.00,New Morals for Old,1932.00,Passed,25728.70,75 min,"Drama, Romance",Charles Brabin,"John Van Druten, Zelda Sears, Wanda Tuchock","Robert Young, Margaret Perry, Lewis Stone","A single mother struggles to raise her son and daughter,who find it difficult to listen to her life lessons.they forge their own lives,and make their own mistakes as a result.","English, French",United States,Nothing,https://m.media-amazon.com/images/M/MV5BYzExYWNiODQtMTc4OC00NmRkLWIzNDgtMmUyNWM5ZDFkYzU5XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",64.02,5.30,35785.51,tt0023262,movie,N/A,40071397.78,Metro-Goldwyn-Mayer,N/A,True,
789.00,West of the Divide,1934.00,Approved,25728.70,54 min,"Action, Adventure, Romance",Robert N. Bradbury,"Robert N. Bradbury, Oliver Drake","John Wayne, Virginia Brown Faire, George 'Gabby' Hayes",Ted Hayden impersonates a wanted man and joins Gentry's gang only to learn later that Gentry was the one who killed his father. He saves Virginia Winters' dad's ranch from Gentry and also rescues his long-lost brother Spud.,English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BYmRjNWMxOWQtOGY2Yi00NjQ2LWFiZWQtYTRiNjUyZDRhOTYzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTEwNDcxNDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",64.02,5.30,35785.51,tt0025969,movie,37845.00,40071397.78,N/A,N/A,True,
790.00,Riders of Destiny,1933.00,Passed,25728.70,53 min,"Music, Romance, Western",Robert N. Bradbury,Robert N. Bradbury,"John Wayne, Cecilia Parker, Forrest Taylor",Bad guy Kincaid controls the local water supply and plans to do in the other ranchers. Government agent Saunders shows up undercover to do in Kincaid and win the heart of one of his victims Fay Denton.,English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BNzA0NTk1ZmItZTI3ZC00YTg5LTgxZjUtNjBlMGM4NjJjY2RjXkEyXkFqcGdeQXVyMTE2NzA0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",64.02,5.50,35785.51,tt0024500,movie,36951.00,40071397.78,Metro-Goldwyn-Mayer,N/A,True,
791.00,Texas Terror,1935.00,Approved,25728.70,51 min,"Action, Adventure, Drama",Robert N. Bradbury,Robert N. Bradbury,"John Wayne, Lucile Browne, LeRoy Mason","Sheriff John Higgins quits and goes into prospecting after he thinks he has killed his best friend in shooting it out with robbers. He encounters his dead buddy's daughter, who has come from back east, and helps her run her ranch. Th",English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BMjI2OTI1NjI1M15BMl5BanBnXkFtZTgwODkwODgwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",64.02,5.20,35785.51,tt0027087,movie,38139.00,40071397.78,N/A,N/A,True,
792.00,Blue Steel,1990.00,R,25728.70,102 min,"Action, Crime, Drama",Kathryn Bigelow,"Kathryn Bigelow, Eric Red","Jamie Lee Curtis, Ron Silver, Clancy Brown",A rookie in the police force must engage in a cat-and-mouse game with a pistol-wielding psychopath who becomes obsessed with her.,English,United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BZDQ5MjgxNGQtZWM0ZC00ZGJkLWFhYWQtNzAxZTQwMDcyNTQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54.00,5.70,35785.51,tt0099160,movie,42738.00,40071397.78,N/A,N/A,True,
793.00,Westward Ho,1935.00,Approved,25728.70,61 min,"Action, Drama, History",Robert N. Bradbury,"Robert Emmett Tansey, Lindsley Parsons","John Wayne, Sheila Bromley, Frank McGlynn Jr.",As a youngster John Wyatt saw his parents killed and his brother kidnapped. On a wagon train heading West he meets his brother who is now a spy for the gang which originally did the dirty work. He and his brother both fall for Mary G,English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BMDA0ZjU4NTQtZmJkOS00MDJjLTgyMDgtZmRkNTdjN2FjODBjXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",64.02,5.70,35785.51,tt0027200,movie,38118.00,40071397.78,N/A,N/A,True,
794.00,Alias John Law,1935.00,Passed,25728.70,59 min,Western,Robert N. Bradbury,"Forbes Parkhill, Robert N. Bradbury","Bob Steele, Roberta Gale, Buck Connors","John Clark (Bob Steele) and his deaf pal, Bootch Collum (Buck Connors), are trailed by U. S. Marshal Lamar Bly (Jack Rockwell), who thinks they are part of The Kootney Kid's (Earl Dwire) gang, which had just held up the stage coach. ",English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BZTU4ZWM0NTItZTc3ZS00OTAzLThiY2EtNGUyNTJhMGUwODgwXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",64.02,5.90,35785.51,tt0026052,movie,42755.00,40071397.78,N/A,N/A,True,
795.00,Last of the Warrens,1936.00,Passed,25728.70,60 min,"Action, Romance, Western",Robert N. Bradbury,Robert N. Bradbury,"Bob Steele, Margaret Marquis, Charles King","Ted Warren returns from WW1 to find that everyone thinks he was dead. The culprit is Kent who intercepted his mail, rustled the Warren cattle, took over the Warren ranch, and is now after Ted's girl friend. When Kent's henchmen fail ",English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BZmE3YzdlZDEtZTAxMi00M2QxLTg4OTMtMDRmN2U5ZDhkYzE4XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",64.02,6.20,35785.51,tt0027870,movie,42734.00,40071397.78,N/A,N/A,True,
796.00,Rakudai Kishi no Cavalry,2015.00,TV-MA,25728.70,24 min,"Animation, Action, Fantasy",N/A,N/A,"Ryôta Ôsaka, Shizuka Ishigami, Bryson Baugus",Follow Ikki Kurogane as he defies the odds that everyone thinks he can't do. Ikki is the lowest of the low at his acdemy. While others have magical power and are high ranking. He is the only low ranker... a rank F. At each and every ,Japanese,Japan,Nothing,https://m.media-amazon.com/images/M/MV5BMzkwMDU4ODctZDUwZi00MDM3LWI4NTYtMWI1OTUxNzcxZjQzXkEyXkFqcGdeQXVyNTc3MDU1MTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",64.02,7.40,35785.51,tt5100366,series,,40071397.78,,,True,1.00
797.00,Trouble in Texas,1937.00,Passed,25728.70,63 min,"Action, Adventure, Music",Robert N. Bradbury,"Robert Emmett Tansey, Lindsley Parsons","Tex Ritter, Rita Hayworth, White Flash","Rodeo stars are being killed with poisoned needles, and Tex Ritter is next on the list.",English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BMDdjY2ZmNTktZDZmYi00OWNiLWJkYjktZjJjOWJmNDIzODA3XkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",64.02,5.40,35785.51,tt0029694,movie,38195.00,40071397.78,N/A,N/A,True,
798.00,Talk About a Stranger,1952.00,Passed,25728.70,65 min,"Drama, Film-Noir, Mystery",David Bradley,"Margaret Fitts, Charlotte Armstrong","George Murphy, Nancy Reagan, Billy Gray","In an idyllic setting, a likable but dangerously volatile twelve-year-old boy tries to settle a score with his disagreeable, mysterious neighbor.",English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BMWIwZjZlNzYtMWM0OC00NmFmLWJlMjAtNGFjMzJjOWMxYzgxXkEyXkFqcGdeQXVyNjYwODc3ODk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",64.02,6.20,35785.51,tt0045216,movie,N/A,40071397.78,N/A,N/A,True,
799.00,Garden State,2004.00,R,25728.70,102 min,"Comedy, Drama, Romance",Zach Braff,Zach Braff,"Zach Braff, Peter Sarsgaard, Natalie Portman",A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.,"English, Klingon",United States,13 wins & 39 nominations,https://m.media-amazon.com/images/M/MV5BMjc5MDE0NjkxOF5BMl5BanBnXkFtZTcwNzA0NTkyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67.00,7.40,35785.51,tt0333766,movie,38496.00,40071397.78,N/A,N/A,True,
800.00,Non ti pago!,1942.00,R,25728.70,72 min,Comedy,Carlo Ludovico Bragaglia,"Carlo Ludovico Bragaglia, Eduardo De Filippo","Eduardo De Filippo, Peppino De Filippo, Titina De Filippo",N/A,Italian,Italy,Nothing,https://m.media-amazon.com/images/M/MV5BMTQ3ZDU3MDctMWY0NC00NmI1LWJkODItYTc4NTljNTczYjA5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",64.02,7.20,35785.51,tt0035131,movie,N/A,40071397.78,N/A,N/A,True,
801.00,Totò cerca moglie,1950.00,R,25728.70,76 min,Comedy,Carlo Ludovico Bragaglia,"Sandro Continenza, Agenore Incrocci, Vittorio Metz","Totò, Ave Ninchi, Marisa Merlini","Aunt Agatha writes to Toto, informing him that she won't send him another penny until he is married.",Italian,Italy,Nothing,https://m.media-amazon.com/images/M/MV5BZTQzMjI0NTgtYTNlNC00MzQxLWJhZTctZDhiNDEzNTFkMjljXkEyXkFqcGdeQXVyMjI4NzAzNjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",64.02,6.30,35785.51,tt0043058,movie,N/A,40071397.78,N/A,N/A,True,
802.00,Totò le mokò,1949.00,R,25728.70,81 min,Comedy,Carlo Ludovico Bragaglia,"Dino Maiuri, Vittorio Metz, Furio Scarpelli","Totò, Gianna Maria Canale, Carla Calò","Mobster Pepé Le Mokò dies during a shootout with the police. His gang decide that his successor will be a relative of his from Naples: Antonio Lumaconi (Totò Le Mokò), a street musician.",Italian,Italy,Nothing,https://m.media-amazon.com/images/M/MV5BYzk4ZGQ1MTQtOWMzOS00MTNiLWEwMmEtYmFlYzc2ZDZlODg5XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",64.02,6.80,35785.51,tt0041975,movie,N/A,40071397.78,N/A,N/A,True,
803.00,47 morto che parla,1950.00,R,25728.70,84 min,Comedy,Carlo Ludovico Bragaglia,"Ettore Petrolini, Agenore Incrocci, Nicola Manzari","Totò, Silvana Pampanini, Adriana Benetti","The story is set in a small town near Naples in early 1900. Baron Antonio Peletti is a stingy, cruel man who lives in a luxurious house, but only spends the bare minimum on the needs of his son and future daughter-in-law.","French, Italian",Italy,Nothing,https://m.media-amazon.com/images/M/MV5BZDk0YjA0MDctNjY0Mi00YmQzLWE3ZjUtNWZhMWEyYWZkYTRhXkEyXkFqcGdeQXVyNTI4NjMxMTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",64.02,7.00,35785.51,tt0042175,movie,N/A,40071397.78,N/A,N/A,True,
